,kraken2_report
2940302,250.0
2925830,178.0
231049,161.0
1720083,138.0
1603,132.0
51664,27.0
186828,71.0
117563,10.0
46124,2944.0
137732,748.0
82802,472.0
189665,1344.0
2094020,368.0
82803,277.0
2747,212.0
2751,604.0
208596,217.0
2800128,60.0
1564681,5.0
174587,294.0
2748,276.0
147709,170.0
1470540,47.0
2496265,650.0
1868793,548.0
2908211,340.0
1903686,15.0
708126,224.0
1868794,83.0
82801,566.0
29394,281.0
1911586,114.0
186827,163.0
1375,414.0
87541,603.0
119206,376.0
128944,376.0
2976810,276.0
1377,255.0
3078812,197.0
2976812,171.0
51665,164.0
2976809,93.0
1376,37.0
13075,115.0
2885764,595.0
13076,232.0
89093,904.0
46125,883.0
2969821,782.0
178214,280.0
2036206,228.0
87458,174.0
1737405,20.0
1570339,913.0
162289,5.0
54006,1424.0
54005,766.0
3016343,752.0
3036303,230.0
